X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	y
2.13	3.76	4.93	2.03	6.37	1.26	8.45	2.58	6.57	2.65	6.23	10	2.3	3.14	7.03	6.03	1.31	2.77	3.97	7.36	4.99	6.97	5.89	7.04	6.04	1
3.4	3.33	4.19	0.816	6.8	0.236	7.45	4.33	4.66	1.57	5.97	7.67	3.55	3.7	7.27	7.17	2.58	3.66	4.46	6.19	3.58	7.71	6.38	7.22	4.41	1
1.17	4.3	4.25	1.64	4.68	-2.1	6.4	4.04	4.11	3.03	6.86	7.11	1.96	5.43	6.67	7.59	2.85	4.09	3.77	5.91	4.37	7.66	6.45	7.28	5.14	1
2.63	2.97	5.79	1.14	5.14	-0.351	6.89	4.69	5.31	3.5	5.72	9.07	3.6	5.69	8.55	7.85	2.33	3.38	4.27	6.36	5.7	7.76	3.59	7.34	5.86	1
3.49	1.11	4.99	0.232	4.99	-0.486	8.65	4.45	6.04	2.25	6.81	7.08	2.22	5.7	7.3	7.71	0.931	4.39	4.91	7.72	6.71	5.74	7.08	8.15	3	0
3.7	1.63	4.89	-0.242	4.37	0.507	9.77	3.25	5.82	2.09	4.78	9.53	2.9	4.38	7.92	8.67	2.45	5.2	4.76	6.89	5.66	7.9	6.12	7.52	6.65	0
5.73	2.62	6.87	-0.375	4.78	-0.277	7.31	4.06	5.31	1.05	5.29	10.6	3.48	3.03	6.65	5.8	1.33	1.55	2.9	5.06	5.83	6.83	7.16	7.7	3.83	1
2.26	2.3	6.06	-0.0625	3.83	0.11	8.31	4.09	5.03	1.4	6.28	8.11	2.27	3.4	7.47	6.74	3.07	3.3	3.95	8.37	7.16	7.65	6.13	7.52	5.65	0
3.07	5.1	4.74	-0.616	3.7	1.96	9.8	4.75	4.95	2.08	7.08	8.45	2.09	4.03	8.4	6.98	2.39	3.2	4.92	8.31	6.41	6.45	5.03	7.21	3.61	1
5.65	2.84	5.73	0.449	3.3	0.0238	9.77	3.09	5.1	1.26	6.45	6.15	2.47	4.64	7.38	6.54	1.24	3.79	3.28	6.86	2	6.96	7.28	8.11	4.79	0
2.3	4.32	3.51	1.52	5.69	-1.27	8.38	4.75	5.83	2.88	7.27	8.94	3.66	5.16	9.75	8.02	1.33	3.52	2.96	8.08	5.08	7.14	7.14	7	4.08	1
3.01	1.34	5.33	0.861	5.16	1.27	9.67	5.62	4.75	2.37	7.75	8.33	1.99	4.19	6.48	8.05	2.15	2.54	3.05	8.04	5.1	6.74	4.86	8.24	3.89	1
4.35	3.55	4.43	1.02	3.79	-1.13	9.62	3.58	6.69	0.849	4.5	9.58	2.34	3.98	8.26	6.54	2.73	3.23	2.77	8.29	5.02	6.88	6.73	6.47	4.12	1
1.89	2.96	4.4	-0.0808	7.14	0.636	9.06	4.16	7.9	0.646	7.21	8.43	3.79	4.49	5.74	6.46	2.47	2.21	5.1	7.39	2.99	7.06	5.57	7.18	2.9	1
1.7	4.69	6	-0.031	5.11	0.282	9.39	5.61	6.93	2.2	6.51	7.53	3.35	4.32	7.51	4.34	1.46	4.34	4.88	6.35	5.58	7.65	5.63	7.11	4.97	1
4.07	2.08	5.31	-0.536	3.65	0.151	6.42	4.88	3.89	1.23	4.45	8.99	3.5	3.25	7.66	4.99	3.07	4.51	3.99	9.77	3.97	6.71	4.97	7.26	5.49	1
4.1	2.18	6.83	0.764	5.25	0.0316	8.27	3.86	5.82	1.31	8.49	8.6	1.55	3.93	7.53	7.84	0.59	3.61	2.98	8.68	4.74	8.47	3.86	8.14	4.28	0
3.68	0.896	7.07	1.84	5.2	-1.57	8.86	4.31	6.11	1.66	6.16	6.89	2.53	3.43	8	7.38	2.35	3.4	3.54	6.93	5.51	7.05	4.69	6.88	5.97	0
3.25	3.48	6.5	1.22	4.99	1.68	10	4.54	7.82	0.834	7.27	9.43	2.15	5.09	8.75	8.52	1.47	4.7	2.97	7.4	6.79	7.97	6.79	6.57	4.89	1
6.15	5.47	5.74	1.62	4.1	2.27	8.23	4.75	5.14	2.43	7.15	6.81	3.76	2.77	8.07	5.79	2.02	5.28	2.68	5.03	3.66	5.54	6.67	8.07	3.87	1
2.71	2.04	5.58	0.701	6.93	-0.543	8.56	2.97	5.56	2.47	7.04	10	1.85	2.95	8.06	5.88	1.99	4.32	5.64	6.97	5.53	7.34	4.54	7.16	2.99	0
3.66	1.87	5.05	0.975	4	-0.655	8.95	3.63	9.09	0.529	7	8.57	4.93	4.85	8.47	6.59	4.94	3.56	2.94	8.04	7.16	8.8	5.19	8.25	3.13	0
3.29	1.37	6.76	0.262	8.05	0.161	9.58	3.67	4.35	2.51	5.9	8.48	1.24	2.94	7.22	6.78	3.63	3.74	3.38	4.65	4.58	7.21	4.96	8.01	3.94	0
5.13	3.26	4.97	0.218	3.55	-1.16	7.65	1.79	4.95	2.81	6.24	7.95	0.904	4.73	7.35	6.32	2.4	4.45	3.5	7.36	5.15	5.14	4.77	7.15	6.34	0
3.41	1.52	5.63	0.827	5	0.471	7.62	2.49	5.83	1.82	4.89	6.75	2.19	3.92	7.06	7.42	3.07	2.13	3.38	6.01	4.72	6.43	6.84	8.17	3.15	0
3.15	0.977	5.31	-0.578	4.62	0.15	8.29	3.13	6.5	2.47	5.13	8.35	1.72	4.26	7.8	7.69	2.27	2.46	3.93	6.48	4.05	7.76	6.09	9.84	3.66	0
3.58	2.13	5.46	0.93	5.62	1.02	7.53	3.18	5	3.04	3.74	9.66	2.65	3.96	8.57	8.72	1.96	4.03	3.7	7.69	5.69	6.1	5.04	7.17	3.35	0
3.7	4.1	4.83	0.458	4.02	0.056	6.53	4.32	6.97	3	6.92	7.86	3.04	3.15	8.52	8.3	2.17	2.04	3.77	7.16	6.2	6.5	3.48	8.83	4.05	1
2.38	2.67	5.09	2.49	3.83	1.38	8.72	3.97	6.57	1.79	7.48	7.32	3.79	2.1	6.54	8.16	2.4	3.3	3.81	6.4	5.93	6.65	6.04	8.7	4.62	1
3.14	3.87	6.57	1.38	4.41	-1.67	8.37	4.28	5.94	2.93	7.04	9.1	0.372	3.74	6.87	6.28	0.64	3.41	3.8	6.3	3.24	6.65	6.69	7.74	3.87	1
2.73	2.18	7.61	-0.174	2.81	0.0721	8.51	2.3	5.12	0.659	6.29	9.39	2.47	3.67	7.11	5.67	1.08	3.04	4.09	6.67	6.35	6.08	5.36	8.56	4.35	0
3.83	1.83	4.94	0.232	4.16	1.29	9.25	4.66	6.26	3.27	6.49	7.76	2.06	3.24	6.51	6.12	3.7	3.46	3.2	6.8	4.13	7.72	3.26	8.97	2.57	1
4.07	3.27	4.35	1.85	4.19	1.91	7.76	4.61	5.18	1.29	4.15	9.72	2.17	3.98	7.75	6.58	3.17	4.18	4.01	6.07	4.19	8.07	4.07	7.96	3.63	1
2.86	2.5	4.74	0.539	4.06	-0.57	9.14	4.73	7.06	1.05	5.55	9.7	1.89	4.92	4.9	6.68	2	2.26	1.41	6.84	3.39	5.51	4.2	6.96	3.66	1
2.39	2.28	5.99	2.4	3.81	-0.283	9.77	4.11	7.3	2.69	5.31	8.26	4.57	3.18	8.8	7.91	2.45	2.89	4.72	6.81	4.72	7.56	5.87	8.41	5.15	0
2.97	3.17	5.83	0.275	3.64	0.751	7.97	2.78	5.96	0.894	6	9.12	1.77	3.93	8.83	6.49	2.49	2.55	2.93	5.82	4.75	8.69	6.54	7.3	3.05	0
2.66	3.98	5.54	-0.0952	2.67	-0.253	6.54	3.5	5.25	0.862	5.31	7.14	2.12	3.79	7.17	5.88	2.21	3.61	4.23	7.78	5.63	5.64	4.41	6.17	3.84	1
3.21	1.41	5	1.2	4.07	0.811	7.07	2.21	6.02	1.73	5.88	6.82	2.26	3.87	7.94	6.82	1.84	4.11	4.34	6.48	6.84	6.34	5.51	8.83	4.8	0
5.12	2.89	5.85	-0.373	4.1	-2.28	8.62	2.29	7.75	1.65	7.68	8.5	2.12	3.97	6.34	7.34	1.59	3.99	3.87	6.15	5.82	8.04	5.37	6.92	3.89	0
3.16	4.34	6.24	0.746	4.71	1.89	6.93	4.01	5.44	2.39	5.69	8.29	3.26	4.72	6.87	7.19	1.32	3.36	3.27	5.47	5.85	6.9	2.77	8.13	3.87	1
2.5	1.24	4.89	1.07	5.32	-0.231	9.34	2.19	5.38	0.667	5.92	9.12	1.99	4.41	8.72	3.63	1.82	3.24	4.01	7.87	6.87	4.57	3.84	7.66	3.98	0
2.34	2.44	5.46	0.06	4.01	0.661	7.56	5.97	5.38	1.42	6.54	8.47	1.2	3.18	8.6	5.77	3.23	3.26	3.25	7.45	3.51	7.2	4.3	6.62	4.05	1
3.78	2.63	5.94	0.791	4.47	1.29	8.98	2.43	6.45	1.1	5.94	8.37	2.99	3.48	8.35	6.08	2.16	3.82	2.12	5.65	5.32	8.15	5.59	8.39	5.22	0
4.41	2.58	4.55	-0.559	4.82	0.704	10.3	5.31	6.67	1.58	7.27	8.36	2.93	2.81	7.55	5.33	3.66	2.57	3.9	7.92	4.05	7.24	5.7	8.03	2.99	1
3.46	2.78	7.47	-0.0959	2.49	0.355	8.38	3.2	5.12	2.77	7.93	10.2	3.84	4.01	7.01	8.35	1.61	2.73	2.93	7.41	4.6	8.17	3.24	8.77	2.52	0
2.87	1.48	5.98	-0.644	5.64	-1.04	7.66	2.96	4.61	1.62	5.45	9.67	1.85	2.55	6.77	6.3	1.39	3.4	3.42	9.42	6.21	7.29	5.04	6.88	3.66	0
2.83	2.04	5.78	1.34	4.86	-0.546	6.41	3.46	6.52	0.373	4.61	9.82	3.87	4.31	7.22	7.73	3.29	4.09	3.11	5.96	5.57	6.48	4.82	8.67	5.21	0
3.51	2.98	6.58	1.41	6.17	-0.394	7.59	3.75	5.95	0.336	6.32	8.93	2.94	5.41	7.81	6.8	2.14	3.59	3.02	6.18	4.97	7.42	5.78	8.36	3.7	1
2.76	2.99	7.09	0.43	7.99	-0.127	10.6	5.37	3.52	1.95	6.37	9.32	2.71	4.36	6.52	4.82	2.11	2.86	3.33	6.73	4.99	6.41	6.43	7.25	4.49	1
3.48	3.51	5.7	0.638	2.74	-0.11	9.5	2.63	5.75	3	5.11	8.4	1.31	4.68	6.94	7.35	1.29	3.49	3.99	6.99	5.75	8.07	5.3	6.64	4.78	0
2.35	1.87	5.74	-0.326	4.49	1.52	9.38	2.72	6.09	1.2	5.97	8.18	1.81	4.19	8.27	5.06	2.1	3.61	4.26	7.81	5.97	8.07	4.46	8.52	5.19	0
2.04	2.68	6.1	-0.238	3.87	0.572	8.47	5.42	5.54	1.19	5.67	8.75	2.66	4.65	6.11	4.92	0.495	4.63	4.51	5.28	5.93	8.62	5.53	7.85	3.93	1
2.2	3.02	5.61	-0.599	4.96	-0.464	7.29	4.09	5.75	2.76	4.43	9.2	0.234	5.36	8.75	5.88	3.79	4.32	4.16	6.66	4.92	8.87	5.03	6.4	3.25	1
3.36	3.18	6.35	0.0292	3.71	-1.49	6.92	2.8	6.32	2.35	5.33	8.65	4.25	4.05	7.07	7.37	2.49	3.73	4.88	7.4	6.06	6.82	3.78	8.26	4.45	0
3.32	1.77	4.35	0.561	5.9	-0.732	6.94	4.11	4.39	3.4	5.93	11.1	1.63	4.17	7.53	7.83	2.09	3.94	2.3	6.79	4.91	6.23	5.61	5.93	4.84	0
4.18	2.22	4.81	1.18	4.43	0.293	9.03	3.14	5.27	0.509	4.35	7.32	2.75	3.68	7.09	6.32	0.961	3.93	2.61	6.35	6.38	7.51	5.39	8.04	2.53	0
2.25	1.63	6.98	0.234	5.43	-0.692	8.93	5.21	4.92	1.5	5.63	7.39	1.56	3.82	7.65	7.2	2.25	3.89	3.93	6.65	7.38	7.73	3.78	7.93	3.44	1
2.74	2.01	5.3	1.56	6.04	-0.623	8.07	2.51	5.64	2.6	7.11	8.57	2.65	3.24	8.3	8.46	1.28	3.14	4.49	8.88	4.64	6.94	4.44	8.66	5.45	0
2.4	1.78	7.2	1.23	6.81	0.284	7.99	4.01	6.57	1.68	7.77	8.57	4.04	3.77	7.33	7.74	3.23	3.54	2.71	9.63	5.76	7.59	6.09	7.95	4.9	0
3.13	1.76	5.61	0.892	5.51	-1.14	7.8	3.81	5.27	3.18	5.8	9.06	3.81	2.8	7.33	6.54	3.08	6.28	3.32	7.1	8.61	7.41	5.44	8.17	4.82	0
4.71	1.95	4.97	0.185	3	1.02	5.95	3.82	7.26	-0.0713	5.24	6.9	4.27	4.42	6.41	5.85	2.58	2.3	4.08	6.45	4.47	7.3	5.16	9.2	5.35	0
3.18	2.29	5.55	0.563	5.63	-1.15	7.71	4.02	5.58	1.08	6.32	7.71	2.35	3.57	7.79	5.78	1.52	3.08	4.91	6.49	4.63	7.36	4.96	7.25	3.29	1
3.06	1.53	8.11	-1.19	5.51	0.501	8.86	2.5	5.22	2.97	5.08	9.4	3.35	3.29	7.63	5.4	1.11	3.37	3.17	7.51	4	6.32	5.92	6.43	4.13	0
2.96	2.04	4.48	-0.627	2.97	0.611	6.79	5.11	4.02	1.8	6.9	8.82	2.25	4.72	7.41	5.38	2.12	3.68	4.44	8.46	6.25	5.65	4.98	7.58	4.61	1
2.73	2.53	5.59	2.37	4.91	-0.923	6.13	5.17	4.96	2.11	7.51	9.98	1.94	5.32	9.61	5.55	1.86	3.72	4.05	7.65	4.69	6.26	5.02	7.71	3.07	1
3.68	2.41	4.52	0.521	3.84	0.405	7.84	2.39	4.95	1.07	5.59	9.09	2.97	4.44	7.26	7.54	3.01	3.24	3.52	6.49	4.69	7.87	4.93	8.34	4.45	0
1.63	3.61	4.49	1.23	7.4	-0.781	9.14	3.28	5.91	3.17	5.95	8.77	2.52	3.37	8.45	6.47	2.16	4.25	2.53	7.09	5.54	7.27	3.85	7.34	3.28	1
5.04	2.58	5.89	2.5	4.08	-0.917	7.38	3.51	6.11	1.27	6.06	7.99	2.93	3.42	9.55	5.48	1.57	3.24	2.14	8.5	4.54	5.52	5.37	9.12	4.7	0
0.507	2.81	5.64	2.5	4.52	0.196	8.34	3.72	5.3	3.09	5.73	8.86	3.53	3.89	6.86	6.56	-0.0492	3.43	4.33	6.81	5.16	6.27	4.8	6.28	3.35	1
3.52	0.94	7.2	1.55	5.22	0.0402	9.25	4.19	4.31	1.58	4.79	11.2	2.45	4.49	6.63	7.21	1.44	3.41	4.47	7.5	4.64	7.54	5.11	6.65	3.91	0
4	2.54	6.76	0.504	4.35	-0.246	9.28	5.01	5.85	0.956	6.01	8.83	4.99	3.79	7.63	6.64	1.86	4.61	5.26	5.12	6.79	6.19	5.25	9.9	3.79	1
2.53	1.36	4.66	1.19	2.41	-0.304	8.68	1.84	5.73	1.81	7.01	11.8	1.99	4.47	6.93	5.78	1.47	2.78	4.65	7.33	6.82	7.25	4.96	6.07	3.48	0
1.48	1.28	4.89	2.24	4.8	0.33	7.39	3.38	4	1.56	6.08	9.34	2.49	3.59	7.42	5.49	3.53	3.77	3.97	6.26	6.48	7.83	3.97	9.22	4.47	0
2.96	1.99	5.05	1.28	6.05	-1.11	6.95	3.92	5.81	0.0155	7.28	5.91	1.79	2.78	7.44	7.25	2.98	5.02	2.48	7.19	4.43	6.38	6.36	4.51	4.88	0
-0.464	2.59	5.81	0.381	4.44	-0.565	6.73	3.49	6.38	1.13	6.32	9.51	4.19	3.09	7.96	9.09	1.01	2.83	4.79	7.14	6.08	6.89	4.65	8.97	3.79	0
1.32	2.97	6	0.949	4.24	1.39	6.82	4.98	5.59	1.69	7.85	8.1	2.05	4.34	7.82	7.12	1.8	1.82	6.25	7.08	5.39	8.4	7.84	7.39	4.52	1
2.34	4.49	6.06	0.281	4.48	0.358	8.89	3.86	5.73	1.35	5.75	7.67	1.41	5.29	7.98	7.87	1.5	3.66	3.13	8.54	5.71	6.67	5.11	8.27	3.46	1
3.47	2.14	5.2	3.03	5.26	-0.0976	6.59	5.27	5.24	2.88	6.09	8.29	1.6	6.11	6.58	7.89	-0.662	1.11	4.77	5.79	5.49	7.14	7.67	5.16	4.47	1
3.83	2.17	7.21	-0.598	4.82	0.454	7.81	3.53	7.53	2.48	5.53	7.65	3.81	4.13	11	5.33	1.38	2.27	2.12	7.55	4.53	8.35	6.31	9.38	2.86	0
2.49	4.46	3.55	-0.899	2.98	0.147	7.81	3.59	5.67	3.05	7.41	8.84	2.52	3.6	8.74	5.52	2.77	3.02	4.6	6.77	6.59	6.91	4.83	7.97	4.23	1
3.78	2.47	4.49	0.179	4.56	-1.35	8.74	3.74	6.23	0.284	6.48	9.02	3.8	5.21	4.46	6.74	1.47	3.96	4.33	8.3	4.81	7.38	4.7	6.16	2.58	1
3.9	1.57	5.41	2.14	5.31	-1.42	9.24	2.55	6.02	3.14	6.26	8.9	2.91	5.39	7.72	7.44	0.795	1.74	0.89	6.78	3.28	7.97	5.87	8.9	3.94	0
5.65	1.12	4.89	1.38	3.2	0.0364	7.78	4.13	6.36	0.981	7.59	7.92	3.64	4.01	7.47	7.76	1.48	4.54	2.8	5.7	5.22	6.95	5.18	6.97	3.49	0
6.16	1.42	5.13	1.52	4.49	-1.1	10.4	3.46	5.03	2.85	7.27	8.17	1.25	4.87	7.3	7.13	2.69	3.23	4.36	6.25	5.18	8.72	5.06	7.45	4.39	0
3.65	3.61	4.76	-0.0893	4.34	-0.805	7.7	1.97	5.52	1.86	7.92	10.5	2.45	1.92	9.2	7.05	2.17	3.58	3.82	6.56	6.16	7.8	5.67	7.11	3.53	0
1.12	3.64	6.35	1.01	5	1.32	8.84	3.16	4.84	2.52	6.86	10.5	2.96	3.56	6.65	7.38	1.59	4.67	2.05	7.14	3.52	9.14	4.42	6.51	3.77	1
2.27	2.77	5.15	-0.868	6.2	0.874	5.95	3.87	6.73	0.779	8.2	10.1	2.4	6.24	5.3	7.55	4.53	2.18	4.24	5.78	4.95	5.56	7.04	6.65	3.51	1
2.39	2.96	4.52	2.23	5.89	-0.868	7.66	3.45	5.78	2.69	4.68	10.7	3.04	4.44	6.69	7.14	1.38	3.05	2.72	8.01	5.16	5.72	4.52	7.88	3.34	1
3.32	2.43	4.64	0.333	4.21	0.725	8.53	5.38	4.62	1.38	6.12	8.9	2.64	3.33	6.71	8.14	1.93	3.06	3.81	7.06	4.31	7.13	5.52	7.55	3.53	1
